POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
6401,1659.11,3999.91,4793.96,474.01,244.33,-208.55,-3559.17,-30422.29,1408.08,19185.85,-5900.43,115.06,0.0,-2424.76,-5785.38,-8210.14
6501,1650.61,4041.45,4810.91,477.67,238.45,-186.52,-3555.16,-30613.8,1423.26,19303.88,-5791.95,112.67,0.0,-2409.24,-5679.28,-8088.52
6601,1742.06,4023.09,4769.95,477.56,266.86,-166.54,-3561.14,-30580.56,1422.69,19262.73,-5715.44,113.52,0.0,-2343.31,-5601.92,-7945.22
6701,1717.02,3950.55,4795.32,489.56,267.77,-214.01,-3524.29,-30641.9,1404.84,19200.52,-5733.66,114.13,0.0,-2554.61,-5619.54,-8174.15
6801,1649.6,4002.35,4755.21,476.55,251.37,-160.88,-3556.95,-30532.62,1414.46,19279.83,-5860.35,116.95,0.0,-2421.08,-5743.4,-8164.48
6901,1691.94,3978.35,4843.37,487.79,253.13,-202.03,-3571.95,-30361.22,1429.47,19219.74,-5941.4,114.61,0.0,-2231.4,-5826.79,-8058.19
7001,1633.15,3965.31,4793.69,490.4,260.53,-195.52,-3559.6,-30111.71,1441.58,19197.88,-6199.34,118.62,0.0,-2084.29,-6080.72,-8165.01
7101,1670.47,4056.69,4837.33,490.58,265.87,-212.82,-3635.08,-30373.83,1429.06,19217.03,-5923.62,113.56,0.0,-2254.71,-5810.06,-8064.76
7201,1695.28,3926.29,4821.39,472.26,273.21,-193.34,-3567.31,-30754.17,1410.75,19159.08,-5601.44,113.92,0.0,-2756.56,-5487.52,-8244.08
7301,1640.39,3974.93,4812.54,479.16,258.02,-190.27,-3589.94,-30729.55,1415.29,19385.86,-5772.2,114.8,0.0,-2543.55,-5657.4,-8200.95
7401,1678.28,3957.85,4775.75,470.37,269.81,-194.07,-3571.85,-30491.21,1412.43,19282.29,-5868.4,115.79,0.0,-2410.35,-5752.61,-8162.96
7501,1705.69,3970.33,4809.15,484.92,240.43,-175.94,-3505.86,-30461.91,1388.63,19132.26,-5873.24,116.93,0.0,-2412.32,-5756.31,-8168.63
7601,1727.6,3956.48,4773.85,485.63,258.56,-170.27,-3606.93,-30713.57,1419.2,19189.97,-5598.94,114.33,0.0,-2679.48,-5484.61,-8164.08
7701,1667.79,3970.66,4815.22,481.15,263.63,-187.33,-3540.45,-30650.48,1419.37,19282.41,-5804.13,116.64,0.0,-2478.03,-5687.5,-8165.53
7801,1713.95,4048.55,4794.62,492.69,253.31,-183.63,-3607.13,-30560.85,1388.91,19165.36,-5680.44,112.87,0.0,-2494.22,-5567.57,-8061.79
7901,1664.71,4013.94,4796.03,473.5,255.88,-177.03,-3564.32,-30564.81,1427.4,19131.07,-5754.94,114.59,0.0,-2543.62,-5640.35,-8183.97
8001,1721.64,4049.87,4851.55,486.25,245.04,-175.56,-3568.5,-30315.74,1436.14,19075.09,-6006.18,115.43,0.0,-2194.23,-5890.74,-8084.97
8101,1701.68,3952.58,4766.88,483.95,247.66,-189.39,-3602.39,-30625.0,1384.43,19133.25,-5599.18,113.04,0.0,-2746.34,-5486.14,-8232.48
8201,1703.19,3972.72,4816.24,493.74,273.97,-184.04,-3586.63,-30592.82,1450.33,19180.02,-5677.58,113.86,0.0,-2473.27,-5563.73,-8037.0
8301,1733.53,4101.86,4825.64,470.82,254.37,-203.02,-3540.53,-30505.34,1413.72,19166.24,-5828.3,117.37,0.0,-2282.7,-5710.93,-7993.63
8401,1698.93,4019.52,4766.12,485.31,250.76,-199.62,-3553.18,-30449.38,1419.87,19206.5,-5880.81,117.96,0.0,-2355.18,-5762.85,-8118.03
8501,1707.74,4089.47,4801.29,496.03,275.04,-204.78,-3618.33,-30282.38,1399.75,19153.43,-5930.36,114.4,0.0,-2182.73,-5815.96,-7998.69
8601,1740.81,3991.72,4789.8,489.07,269.14,-192.3,-3556.41,-30134.75,1410.33,19029.13,-6030.5,117.19,0.0,-2163.45,-5913.31,-8076.76
