POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
6701,1729.83,4049.24,4839.77,491.07,272.76,-172.37,-3537.38,-30534.11,1406.42,19014.87,-5750.96,117.06,0.0,-2439.9,-5633.9,-8073.8
6801,1644.72,4122.3,4854.83,489.86,245.9,-195.29,-3602.43,-30509.59,1398.34,19165.04,-5863.75,118.85,0.0,-2386.32,-5744.9,-8131.22
6901,1598.04,4030.18,4861.27,472.9,260.45,-172.24,-3618.4,-30368.51,1396.44,19147.39,-5899.49,118.4,0.0,-2392.48,-5781.09,-8173.57
7001,1643.49,3984.29,4865.59,476.63,274.5,-177.37,-3587.1,-30430.59,1409.4,19110.28,-5818.45,113.6,0.0,-2430.88,-5704.85,-8135.73
7101,1707.16,3976.96,4838.09,484.0,231.94,-191.44,-3571.2,-30156.93,1399.47,19164.09,-6117.62,116.95,0.0,-2117.86,-6000.67,-8118.53
7201,1674.13,4068.92,4806.82,496.33,266.32,-187.62,-3563.93,-30288.57,1411.01,19037.13,-6052.54,117.7,0.0,-2279.45,-5934.84,-8214.29
7301,1702.92,3985.02,4862.42,488.06,241.67,-155.33,-3553.09,-30445.06,1423.05,19138.88,-5969.08,118.3,0.0,-2311.46,-5850.78,-8162.23
7401,1697.69,4079.59,4840.24,492.12,252.77,-196.9,-3552.3,-30166.73,1412.35,19072.74,-6068.83,115.75,0.0,-2068.42,-5953.07,-8021.5
7501,1686.43,4076.84,4822.3,491.0,253.98,-160.49,-3575.09,-30426.48,1388.92,19159.18,-5839.45,116.05,0.0,-2283.4,-5723.4,-8006.8
7601,1641.74,4045.36,4850.63,478.77,263.99,-215.16,-3554.24,-30514.2,1393.44,19212.54,-5862.03,115.3,0.0,-2397.11,-5746.73,-8143.84
7701,1652.29,4105.31,4812.57,479.72,257.69,-210.99,-3544.3,-30344.24,1440.84,19121.1,-5910.75,115.54,0.0,-2230.01,-5795.21,-8025.22
7801,1683.39,4080.93,4806.28,492.52,268.32,-190.75,-3566.68,-30559.36,1406.57,19193.93,-5814.26,115.54,0.0,-2384.87,-5698.72,-8083.59
7901,1659.25,4112.35,4806.84,501.49,230.3,-203.26,-3574.89,-30349.6,1424.55,19129.29,-5890.84,117.74,0.0,-2263.69,-5773.1,-8036.79
8001,1704.01,4069.54,4835.13,492.35,255.18,-169.21,-3584.43,-30478.23,1361.54,18985.37,-5708.22,114.96,0.0,-2528.75,-5593.26,-8122.01
8101,1698.05,4041.48,4839.42,489.62,243.44,-200.65,-3579.76,-30595.09,1435.97,19214.73,-5835.8,117.73,0.0,-2412.79,-5718.07,-8130.86
8201,1690.05,3954.09,4834.83,478.77,265.07,-201.24,-3570.13,-30465.36,1386.39,19181.19,-5886.01,115.35,0.0,-2446.35,-5770.67,-8217.02
8301,1682.35,4009.72,4827.02,488.28,250.83,-187.35,-3538.5,-30530.88,1430.95,19170.89,-5876.98,117.59,0.0,-2396.69,-5759.38,-8156.08
8401,1724.14,3925.07,4821.64,471.21,259.22,-182.97,-3523.19,-30678.69,1380.76,19129.91,-5662.74,116.45,0.0,-2672.89,-5546.29,-8219.18
8501,1672.41,3991.74,4809.27,473.52,241.29,-163.2,-3572.76,-30383.82,1389.97,19020.93,-5846.02,116.04,0.0,-2520.66,-5729.99,-8250.65
8601,1677.69,3978.62,4797.85,466.21,268.04,-179.48,-3563.14,-30251.37,1422.48,19014.62,-5944.71,117.55,0.0,-2368.46,-5827.16,-8195.62
8701,1708.76,3977.78,4807.23,486.95,268.26,-176.02,-3591.45,-30165.95,1380.22,19009.49,-5963.73,116.41,0.0,-2294.72,-5847.32,-8142.04
8801,1676.2,4006.81,4832.51,493.77,234.79,-164.57,-3530.23,-30537.96,1405.5,19010.44,-5747.1,116.29,0.0,-2572.75,-5630.81,-8203.56
8901,1650.58,4074.73,4821.33,477.0,245.2,-224.29,-3555.14,-30179.48,1407.5,19076.85,-6079.8,120.97,0.0,-2205.72,-5958.83,-8164.55
9001,1724.8,3998.32,4851.76,489.18,252.62,-206.03,-3583.38,-29977.27,1412.97,19138.1,-6234.07,118.29,0.0,-1898.95,-6115.78,-8014.74
9101,1655.27,4104.28,4827.94,484.7,263.5,-165.16,-3582.95,-30022.7,1380.21,19138.86,-6142.67,116.52,0.0,-1916.06,-6026.16,-7942.22
9201,1663.33,4034.63,4787.45,486.3,272.87,-197.7,-3550.42,-30701.12,1411.69,19158.38,-5684.71,113.72,0.0,-2634.58,-5570.99,-8205.57
9301,1645.2,4020.32,4798.65,493.04,251.23,-174.94,-3578.66,-30426.25,1415.07,19067.06,-5845.68,117.07,0.0,-2489.28,-5728.61,-8217.89
9401,1633.18,4010.95,4844.74,475.23,268.07,-183.15,-3562.16,-30527.58,1403.28,19201.35,-5845.78,116.11,0.0,-2436.08,-5729.67,-8165.76
9501,1649.55,4033.59,4850.7,494.43,263.5,-231.4,-3568.94,-30499.04,1395.67,19155.12,-5786.39,112.65,0.0,-2456.82,-5673.74,-8130.56
9601,1703.41,3957.42,4890.21,489.42,265.14,-176.45,-3578.44,-30602.72,1377.29,19107.55,-5705.86,111.91,0.0,-2567.19,-5593.95,-8161.14
9701,1696.51,4057.24,4878.42,489.16,276.69,-187.95,-3645.05,-30140.12,1365.99,19112.9,-6060.29,115.53,0.0,-2096.21,-5944.76,-8040.97
9801,1707.39,3921.68,4855.94,475.42,240.53,-191.07,-3607.97,-30317.62,1406.02,19004.12,-5828.1,112.46,0.0,-2505.55,-5715.63,-8221.19
9901,1677.44,4101.2,4846.95,500.65,237.16,-198.57,-3566.16,-30252.97,1398.16,19014.1,-5922.95,112.74,0.0,-2242.03,-5810.22,-8052.25
10001,1717.59,4050.32,4819.82,475.36,257.89,-200.88,-3606.69,-30331.58,1378.83,19095.05,-5936.15,113.97,0.0,-2344.29,-5822.18,-8166.47

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,14.09,15.7,34.83,2.03,1.85,0.0,-2.79,-165.64,17.25,216.97,-39.88,2.95,0.0,134.3,-36.94,97.36
101,16.47,19.46,27.41,3.63,0.03,0.0,-1.71,-155.66,16.55,195.33,-34.15,2.97,0.0,121.52,-31.19,90.33
201,15.78,12.87,32.55,3.35,0.1,0.0,-1.37,-161.34,15.86,203.27,-34.25,2.94,0.0,121.06,-31.31,89.75
301,12.43,17.53,29.47,3.14,1.22,0.0,-3.29,-167.0,15.42,208.82,-34.86,3.0,0.0,117.72,-31.86,85.86
401,11.37,11.86,30.36,1.43,0.26,0.0,-0.8,-153.3,16.47,199.92,-35.81,2.98,0.0,117.57,-32.83,84.74
501,16.04,20.26,27.13,2.57,0.83,0.0,-0.96,-154.7,14.67,195.7,-35.1,2.97,0.0,121.54,-32.12,89.42
601,12.7,12.33,31.04,2.56,0.96,0.0,-1.17,-158.34,18.29,197.93,-32.95,2.95,0.0,116.3,-30.01,86.3
701,9.23,17.39,27.58,2.07,0.29,0.0,-1.26,-152.31,18.58,195.38,-35.93,2.93,0.0,116.96,-33.0,83.95
801,8.45,19.7,28.47,1.81,0.38,0.0,-3.38,-173.12,17.13,213.77,-32.89,2.92,0.0,113.21,-29.98,83.24
901,20.86,14.45,28.3,2.98,0.17,0.0,-1.72,-170.35,15.81,209.76,-33.55,2.92,0.0,120.28,-30.63,89.65
1001,15.74,20.78,32.8,3.43,0.89,0.0,-3.04,-160.07,16.72,196.11,-35.62,2.95,0.0,123.36,-32.68,90.69
1101,11.25,18.05,30.09,2.83,0.78,0.0,-2.48,-169.51,18.74,202.6,-32.0,2.95,0.0,112.36,-29.05,83.31
1201,8.33,20.19,31.7,3.69,0.35,0.0,-0.54,-170.51,17.52,211.18,-33.52,2.97,0.0,121.91,-30.55,91.36
1301,8.8,20.39,33.8,2.68,0.28,0.0,-2.83,-171.07,17.39,207.44,-32.67,2.95,0.0,116.88,-29.72,87.16
1401,12.34,20.12,27.79,3.06,0.24,0.0,-1.63,-168.22,14.28,210.26,-33.49,2.95,0.0,118.24,-30.54,87.69
1501,11.25,20.4,29.28,3.12,0.12,0.0,-1.89,-169.47,18.41,209.41,-33.9,2.95,0.0,120.64,-30.95,89.68
1601,12.73,21.03,31.89,5.09,0.02,0.0,-2.63,-170.46,18.57,205.99,-33.94,2.94,0.0,122.23,-31.0,91.22
1701,16.18,24.15,30.77,3.07,0.21,0.0,-0.14,-169.97,17.93,205.62,-32.23,2.95,0.0,127.82,-29.28,98.54
1801,9.85,20.76,33.29,3.74,2.07,0.0,-2.61,-170.35,15.75,214.85,-36.05,2.95,0.0,127.35,-33.09,94.26
1901,12.84,15.38,31.45,2.29,0.82,0.0,-1.18,-173.65,16.76,209.32,-32.41,2.94,0.0,114.03,-29.48,84.55
2001,14.0,17.15,27.5,2.49,0.07,0.0,-2.67,-167.85,15.57,207.76,-32.78,2.96,0.0,114.04,-29.82,84.22
2101,9.65,18.02,30.94,3.83,0.21,0.0,-1.45,-174.5,18.71,210.41,-33.26,2.96,0.0,115.83,-30.3,85.53
2201,11.47,16.21,32.42,3.17,0.66,0.0,-2.89,-167.2,17.83,210.55,-35.52,2.94,0.0,122.21,-32.59,89.62
2301,14.35,20.4,28.24,2.92,0.07,0.0,-2.56,-165.33,14.78,206.26,-35.65,2.97,0.0,119.15,-32.68,86.46
2401,10.42,19.96,28.36,2.68,0.1,0.0,-3.07,-170.37,17.55,215.0,-35.14,2.93,0.0,120.63,-32.22,88.41
2501,7.03,24.14,27.58,3.76,0.09,0.0,-2.25,-158.26,18.84,204.6,-37.51,2.94,0.0,125.54,-34.57,90.97
2601,13.5,17.25,33.51,2.46,0.38,0.0,-2.02,-170.33,19.68,206.77,-31.94,2.97,0.0,121.2,-28.97,92.23
2701,22.54,21.8,30.35,4.71,0.26,0.0,-2.64,-148.23,15.27,192.57,-39.69,3.0,0.0,136.63,-36.69,99.94
2801,7.78,16.37,26.3,1.58,0.39,0.0,-1.74,-163.36,18.27,208.65,-34.54,2.96,0.0,114.23,-31.57,82.65
2901,12.93,15.33,28.37,2.77,2.08,0.0,-1.88,-161.13,17.24,210.61,-38.98,2.96,0.0,126.32,-36.02,90.3
3001,9.7,18.3,29.33,3.01,1.31,0.0,-3.05,-162.99,17.26,208.98,-35.19,2.98,0.0,121.85,-32.21,89.64
3101,9.63,16.06,35.16,3.4,0.99,0.0,-2.11,-160.1,17.55,211.42,-38.93,3.0,0.0,132.01,-35.93,96.08
3201,7.35,22.71,30.23,4.69,0.21,0.0,-1.31,-153.27,17.4,195.07,-37.03,2.95,0.0,123.09,-34.08,89.01
3301,10.3,13.74,27.77,2.0,0.12,0.0,-0.1,-153.76,16.17,204.35,-40.08,2.94,0.0,120.59,-37.14,83.45
