POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
4101,1726.11,4051.23,4911.85,490.63,252.33,-187.2,-3646.75,-30624.64,1419.03,19109.0,-5752.55,110.19,0.0,-2498.41,-5642.36,-8140.77
4201,1683.72,3969.61,4855.96,483.84,245.81,-173.13,-3617.41,-30592.09,1405.81,19188.39,-5700.86,111.67,0.0,-2549.5,-5589.19,-8138.69
4301,1675.64,4076.68,4864.38,485.96,271.07,-147.32,-3635.42,-30585.34,1405.7,19089.74,-5771.04,113.96,0.0,-2498.91,-5657.08,-8155.99
4401,1739.94,4043.33,4830.88,470.63,264.19,-180.04,-3608.06,-30704.66,1439.57,19069.16,-5624.51,111.81,0.0,-2635.06,-5512.7,-8147.76
4501,1700.29,4055.74,4850.5,476.02,251.77,-187.28,-3591.48,-30646.77,1440.81,19169.92,-5743.83,111.18,0.0,-2480.47,-5632.65,-8113.12
4601,1697.38,4044.32,4811.92,478.81,268.52,-200.48,-3615.77,-30592.7,1444.3,18994.8,-5690.08,111.74,0.0,-2668.91,-5578.34,-8247.25
4701,1732.6,4010.57,4809.64,501.54,254.34,-156.66,-3628.81,-30416.4,1415.54,19044.52,-5832.46,114.03,0.0,-2433.13,-5718.43,-8151.56
4801,1771.26,4057.62,4895.94,471.05,268.65,-158.35,-3704.54,-30347.89,1400.65,18977.52,-5904.14,112.7,0.0,-2368.1,-5791.44,-8159.53
4901,1667.61,4052.29,4826.56,480.06,229.72,-178.03,-3687.75,-30737.17,1426.64,19061.93,-5552.91,108.3,0.0,-2858.13,-5444.6,-8302.74
5001,1756.12,3974.35,4823.04,485.13,264.58,-179.76,-3713.4,-30571.7,1438.51,19151.63,-5705.78,109.3,0.0,-2571.49,-5596.48,-8167.97
5101,1686.36,3957.28,4885.03,469.28,259.62,-164.97,-3671.21,-30668.81,1405.25,19214.05,-5694.44,110.34,0.0,-2628.13,-5584.1,-8212.23
5201,1713.94,4056.95,4842.94,486.0,264.92,-185.55,-3695.23,-30756.24,1429.95,19195.13,-5609.54,109.91,0.0,-2647.19,-5499.63,-8146.83
5301,1778.02,4029.91,4818.63,496.79,245.18,-162.22,-3680.09,-30695.43,1423.21,19044.07,-5544.05,108.61,0.0,-2701.93,-5435.45,-8137.37
5401,1727.0,4009.5,4898.68,480.1,268.53,-189.76,-3652.02,-30716.85,1449.56,19166.58,-5628.67,109.2,0.0,-2558.68,-5519.47,-8078.15
5501,1733.94,4065.51,4851.18,481.02,248.59,-162.79,-3679.51,-30542.52,1443.53,19187.84,-5815.66,108.28,0.0,-2373.23,-5707.38,-8080.61
5601,1716.73,3983.54,4815.99,471.69,261.59,-160.09,-3703.74,-30701.1,1426.24,19242.96,-5669.83,108.36,0.0,-2646.19,-5561.47,-8207.66
5701,1739.85,3998.09,4831.67,484.18,248.24,-169.48,-3709.67,-30816.62,1428.83,19040.29,-5451.46,107.93,0.0,-2924.62,-5343.54,-8268.15
5801,1704.18,4140.28,4825.97,494.11,244.41,-179.84,-3626.44,-30918.83,1408.84,19127.49,-5494.16,110.49,0.0,-2779.83,-5383.67,-8163.5
5901,1738.32,4033.67,4831.2,487.52,249.38,-157.1,-3621.03,-30853.5,1445.3,19077.08,-5526.89,110.62,0.0,-2769.17,-5416.27,-8185.44
6001,1681.81,4048.99,4870.69,497.16,252.81,-153.95,-3634.74,-30922.57,1438.84,19222.36,-5621.47,110.77,0.0,-2698.6,-5510.7,-8209.29
6101,1655.43,3964.72,4845.07,486.05,241.8,-158.13,-3670.94,-30872.8,1444.63,19290.03,-5584.54,109.78,0.0,-2774.14,-5474.76,-8248.9
6201,1698.77,4004.79,4804.6,483.08,237.32,-180.16,-3625.73,-30847.71,1454.44,19115.12,-5515.08,108.74,0.0,-2855.47,-5406.34,-8261.81
6301,1680.77,4008.99,4855.7,492.93,274.33,-186.62,-3649.73,-30746.63,1444.55,19087.2,-5581.75,108.31,0.0,-2738.49,-5473.44,-8211.93
6401,1684.34,4032.43,4842.83,481.57,267.89,-177.05,-3623.01,-30858.54,1464.49,19280.89,-5614.27,108.57,0.0,-2604.16,-5505.7,-8109.86
6501,1686.41,4030.21,4849.4,487.09,262.68,-172.09,-3614.46,-30787.0,1434.57,19124.17,-5626.61,111.41,0.0,-2699.02,-5515.2,-8214.22
6601,1708.87,4033.04,4828.81,503.94,271.76,-171.7,-3670.83,-30327.83,1449.49,18971.36,-5850.06,110.78,0.0,-2403.08,-5739.28,-8142.37
6701,1731.89,3972.0,4847.87,480.97,258.92,-178.56,-3641.74,-30630.7,1420.99,19221.52,-5771.39,110.93,0.0,-2516.84,-5660.47,-8177.3
6801,1676.11,4126.18,4856.53,494.31,263.48,-174.99,-3636.75,-30745.66,1422.52,18994.36,-5535.17,111.68,0.0,-2723.91,-5423.49,-8147.4
6901,1676.3,4021.77,4810.04,484.97,280.59,-167.97,-3650.95,-30581.31,1432.11,19117.48,-5790.63,109.82,0.0,-2576.97,-5680.81,-8257.77
