POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1201,27.13,12.83,19.5,4.6,0.06,0.0,-0.24,-92.57,20.86,99.33,-23.32,2.94,0.0,91.5,-20.38,71.11
1301,12.21,12.9,23.87,3.37,0.98,0.0,-0.27,-94.98,29.55,102.96,-24.31,2.88,0.0,90.58,-21.42,69.16
1401,9.2,14.93,17.34,2.77,0.61,0.0,-2.32,-92.43,27.88,101.78,-23.84,2.94,0.0,79.76,-20.9,58.86
1501,12.12,18.78,15.99,5.03,0.1,0.0,-1.78,-94.16,24.93,100.66,-22.95,2.92,0.0,81.66,-20.03,61.63
1601,11.65,18.36,14.69,2.5,0.07,0.0,-0.55,-95.26,26.06,107.19,-23.85,2.9,0.0,84.71,-20.95,63.77
1701,10.85,13.14,16.94,3.18,0.0,0.0,0.6,-97.09,24.43,104.42,-22.05,2.93,0.0,76.46,-19.12,57.35
1801,10.47,17.67,18.5,2.84,0.38,0.0,-0.65,-99.13,25.67,108.87,-22.93,2.95,0.0,84.61,-19.98,64.63
1901,10.11,15.37,21.2,3.22,0.16,0.0,-1.38,-94.84,25.03,108.26,-24.53,2.95,0.0,87.14,-21.59,65.56
2001,16.37,18.74,18.19,2.7,0.04,0.0,-0.09,-92.46,21.46,97.88,-22.43,2.95,0.0,82.82,-19.48,63.34
2101,15.32,18.96,16.62,3.67,1.05,0.0,-2.05,-94.49,22.92,106.58,-24.9,2.93,0.0,88.58,-21.96,66.61
2201,7.36,15.43,15.4,2.18,0.42,0.0,-0.52,-95.38,23.77,105.55,-23.39,2.97,0.0,74.21,-20.42,53.79
2301,12.17,17.26,18.81,2.75,0.18,0.0,-0.34,-100.28,24.18,109.2,-22.22,2.92,0.0,83.91,-19.31,64.61
2401,13.79,16.72,14.3,4.6,0.16,0.0,-0.28,-94.18,24.2,99.24,-21.94,2.94,0.0,78.55,-19.0,59.55
2501,11.02,16.33,15.73,2.91,0.0,0.0,-1.61,-98.96,24.66,111.69,-24.25,2.92,0.0,81.77,-21.32,60.45
2601,7.11,22.07,17.57,3.9,0.2,0.0,-2.13,-94.1,26.49,99.96,-22.4,2.91,0.0,81.1,-19.49,61.6
2701,11.01,14.97,15.32,2.97,0.16,0.0,-2.06,-94.23,22.12,104.48,-24.06,2.93,0.0,74.75,-21.14,53.61
2801,12.0,18.41,20.66,4.94,0.07,0.0,-1.27,-98.2,24.55,103.37,-22.19,2.9,0.0,84.53,-19.29,65.24
2901,7.65,19.27,22.14,3.36,0.15,0.0,-2.41,-92.35,30.05,100.88,-23.46,2.91,0.0,88.75,-20.55,68.2
3001,8.65,11.47,14.96,2.05,0.31,0.0,-0.54,-94.8,26.55,109.28,-25.55,2.95,0.0,77.94,-22.6,55.34
3101,9.84,15.22,20.73,3.44,0.27,0.0,-1.62,-98.61,25.76,107.8,-22.75,2.93,0.0,82.83,-19.81,63.02
3201,12.93,19.34,18.47,3.42,0.79,0.0,-1.49,-98.02,24.46,107.41,-23.04,2.94,0.0,87.33,-20.1,67.22
3301,10.72,13.26,18.21,3.51,0.05,0.0,-1.42,-98.86,26.52,110.51,-23.28,2.9,0.0,82.5,-20.38,62.12
3401,8.47,21.76,17.18,4.75,0.63,0.0,-1.62,-98.11,26.68,105.79,-21.89,2.88,0.0,85.53,-19.02,66.52
3501,9.9,11.36,20.51,2.42,0.03,0.0,-1.35,-94.74,25.31,104.81,-22.97,2.91,0.0,78.24,-20.06,58.18
3601,12.26,21.05,14.2,4.14,0.0,0.0,-1.51,-95.24,23.94,104.29,-22.46,2.93,0.0,83.13,-19.54,63.59
3701,11.17,12.89,15.75,2.61,0.26,0.0,0.65,-93.45,26.88,104.81,-24.26,2.91,0.0,81.58,-21.35,60.23
3801,15.33,17.13,18.1,3.78,0.01,0.0,0.36,-91.3,21.46,96.23,-21.92,2.96,0.0,81.09,-18.96,62.13
3901,14.72,15.45,17.0,4.61,0.28,0.0,-1.65,-94.35,26.48,104.78,-24.16,2.91,0.0,87.3,-21.26,66.05
4001,10.35,13.84,16.38,2.87,0.02,0.0,2.08,-98.37,27.63,108.63,-22.85,2.89,0.0,83.44,-19.97,63.47
4101,12.77,20.02,17.44,2.93,0.0,0.0,-1.49,-93.74,23.86,104.52,-23.61,2.93,0.0,86.31,-20.68,65.63
4201,9.5,16.79,20.26,2.62,0.04,0.0,-0.95,-94.56,24.65,102.67,-23.34,2.91,0.0,81.02,-20.43,60.59
4301,12.26,10.88,16.56,3.37,0.01,0.0,-1.32,-94.59,26.37,102.8,-23.27,2.88,0.0,76.35,-20.39,55.95
4401,10.05,17.89,18.12,3.91,0.2,0.0,-2.71,-94.97,25.08,101.52,-21.61,2.92,0.0,79.09,-18.7,60.39
4501,9.29,26.08,17.43,3.32,0.02,0.0,-2.3,-91.97,24.41,99.36,-23.32,2.95,0.0,85.65,-20.37,65.28
4601,9.69,15.32,16.01,3.07,0.31,0.0,-1.54,-94.54,24.41,104.71,-23.56,2.89,0.0,77.44,-20.67,56.77
4701,10.24,10.62,24.06,2.57,0.55,0.0,-2.23,-99.16,25.76,106.95,-22.0,2.91,0.0,79.36,-19.09,60.28
4801,9.52,15.48,13.84,2.11,0.18,0.0,-0.85,-97.3,24.92,107.6,-23.47,2.93,0.0,75.51,-20.55,54.96
4901,11.12,18.53,15.62,3.61,0.02,0.0,-1.8,-94.35,24.93,102.75,-23.9,2.95,0.0,80.42,-20.95,59.47
5001,12.91,22.48,15.54,4.34,0.15,0.0,-1.55,-94.89,26.31,101.71,-22.43,2.93,0.0,87.0,-19.5,67.51
5101,8.79,12.15,16.94,3.2,0.17,0.0,-1.38,-95.99,26.08,105.72,-22.84,2.91,0.0,75.68,-19.93,55.75
5201,9.83,17.51,18.4,2.77,0.16,0.0,-1.67,-94.38,28.03,103.38,-22.78,2.91,0.0,84.04,-19.87,64.17
5301,11.8,22.21,19.31,4.94,0.44,0.0,-2.18,-94.52,25.93,101.58,-21.68,2.91,0.0,89.51,-18.77,70.75
5401,8.38,20.63,14.11,3.45,0.14,0.0,-0.88,-95.03,24.46,106.3,-24.88,2.89,0.0,81.55,-21.99,59.56
5501,9.45,13.18,19.44,2.44,0.66,0.0,-2.61,-92.04,25.52,104.93,-25.76,2.91,0.0,80.97,-22.85,58.12
5601,9.35,16.06,17.03,2.74,0.24,0.0,-0.92,-97.35,27.33,107.56,-22.85,2.89,0.0,82.04,-19.95,62.08
5701,10.37,10.71,16.42,4.32,0.24,0.0,1.76,-95.83,27.55,107.47,-24.09,2.9,0.0,83.0,-21.19,61.81
5801,12.48,15.43,19.17,1.48,0.02,0.0,-1.36,-93.93,25.79,103.46,-23.02,2.93,0.0,82.55,-20.09,62.46
5901,11.13,11.4,17.54,4.01,0.03,0.0,-0.52,-98.84,25.95,109.25,-23.65,2.92,0.0,79.95,-20.73,59.22
6001,9.27,17.74,16.17,2.9,0.78,0.0,-0.48,-97.54,25.89,105.91,-21.51,2.89,0.0,80.65,-18.62,62.02
6101,11.56,13.04,18.38,2.72,0.02,0.0,-1.54,-94.73,24.79,107.6,-25.11,2.9,0.0,81.84,-22.21,59.63
6201,9.88,20.17,18.58,4.08,0.09,0.0,-2.38,-93.12,26.06,102.87,-23.63,2.97,0.0,86.22,-20.66,65.56
6301,6.68,18.99,20.57,2.98,0.48,0.0,1.74,-94.48,25.72,106.17,-23.98,2.91,0.0,88.85,-21.07,67.78
6401,12.92,19.86,16.71,3.96,0.28,0.0,-0.89,-93.35,23.49,100.28,-23.77,2.94,0.0,83.24,-20.83,62.42
6501,11.35,15.65,19.46,2.55,0.0,0.0,-0.97,-94.22,26.48,106.52,-25.35,2.91,0.0,86.81,-22.44,64.37
6601,11.84,21.71,19.5,5.0,0.02,0.0,-1.14,-96.74,24.61,106.01,-23.08,2.93,0.0,90.81,-20.15,70.66
6701,12.55,15.25,16.39,3.99,0.88,0.0,-0.48,-95.43,23.7,109.96,-25.04,2.92,0.0,86.82,-22.12,64.7
6801,10.79,17.46,18.81,3.35,0.43,0.0,-1.0,-93.43,25.05,100.17,-22.11,2.93,0.0,81.65,-19.18,62.47
6901,15.58,16.51,14.85,4.31,0.04,0.0,-1.31,-92.31,21.47,103.77,-25.13,2.92,0.0,82.91,-22.21,60.7
7001,11.97,17.45,18.05,2.92,0.57,0.0,-2.35,-95.21,25.17,105.57,-23.66,2.91,0.0,84.15,-20.75,63.4
