POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
7901,1692.13,4072.85,4834.78,495.37,251.46,-184.88,-3595.42,-30655.27,1470.7,19268.22,-5714.03,117.63,0.0,-2350.05,-5596.41,-7946.45
8001,1733.32,4018.75,4845.3,482.24,265.94,-181.85,-3543.14,-30903.84,1388.49,19196.36,-5528.12,115.99,0.0,-2698.41,-5412.13,-8110.54
8101,1706.78,4143.7,4813.54,485.42,264.96,-195.27,-3558.04,-30467.63,1425.45,19204.82,-5870.14,118.58,0.0,-2176.27,-5751.56,-7927.83
8201,1707.42,4011.17,4913.71,487.74,273.13,-210.64,-3572.18,-30552.86,1417.51,19139.92,-5800.88,117.75,0.0,-2385.08,-5683.13,-8068.21
8301,1725.01,4064.99,4823.25,494.78,240.73,-188.25,-3549.44,-30504.87,1452.74,19133.04,-5815.91,117.91,0.0,-2308.04,-5698.0,-8006.04
8401,1608.25,4063.5,4859.77,478.18,281.16,-207.09,-3582.81,-30824.22,1449.98,19253.36,-5616.0,117.04,0.0,-2619.9,-5498.96,-8118.86
8501,1647.65,4050.43,4869.28,488.27,262.09,-180.24,-3584.79,-30539.54,1433.79,19240.71,-5841.36,115.33,0.0,-2312.35,-5726.03,-8038.38
8601,1713.79,3974.85,4842.61,474.42,251.83,-198.95,-3559.02,-30549.98,1452.97,19164.19,-5828.67,115.93,0.0,-2433.3,-5712.74,-8146.04
8701,1713.96,3991.59,4871.18,470.82,266.41,-183.4,-3549.8,-30659.15,1442.98,19139.05,-5695.39,116.24,0.0,-2496.36,-5579.15,-8075.51
8801,1662.7,4100.02,4801.28,505.08,237.56,-187.7,-3529.91,-30962.54,1434.99,19194.16,-5557.92,117.43,0.0,-2744.38,-5440.49,-8184.88
8901,1698.66,4099.12,4859.65,504.29,247.73,-199.1,-3550.93,-30521.32,1435.07,19251.75,-5961.74,116.15,0.0,-2175.08,-5845.59,-8020.67
9001,1737.19,4085.0,4879.24,496.04,270.45,-166.35,-3507.81,-30834.95,1447.76,19189.76,-5705.41,118.92,0.0,-2403.67,-5586.48,-7990.15
9101,1747.74,4042.32,4854.14,493.6,263.74,-218.85,-3589.03,-30821.49,1409.21,19207.02,-5620.92,117.92,0.0,-2611.59,-5503.0,-8114.59
9201,1729.1,3995.55,4858.04,488.69,263.14,-176.14,-3597.07,-30513.02,1439.92,19289.57,-6006.07,118.65,0.0,-2222.22,-5887.42,-8109.64
9301,1671.62,4158.52,4821.56,482.54,244.27,-208.14,-3584.14,-30590.41,1415.83,19153.47,-5759.16,117.07,0.0,-2434.89,-5642.09,-8076.98
9401,1716.37,4005.15,4823.52,488.59,263.47,-179.77,-3572.74,-30586.38,1431.98,19151.4,-5768.32,118.82,0.0,-2458.41,-5649.5,-8107.91
9501,1724.47,4104.13,4870.49,484.84,272.19,-152.58,-3582.72,-30486.26,1445.59,19118.36,-5894.2,117.93,0.0,-2201.5,-5776.27,-7977.77
9601,1708.05,4077.28,4893.16,490.13,259.22,-211.35,-3630.21,-30662.23,1425.82,19129.55,-5698.17,112.89,0.0,-2520.6,-5585.28,-8105.87
9701,1656.75,4017.53,4853.41,468.52,266.32,-170.44,-3564.72,-30821.62,1420.9,19250.2,-5607.35,115.92,0.0,-2623.15,-5491.43,-8114.59
9801,1709.34,4067.41,4834.56,488.39,231.92,-211.64,-3625.57,-30650.93,1448.96,19170.66,-5690.46,114.92,0.0,-2536.91,-5575.54,-8112.45
9901,1691.93,4051.29,4859.37,479.27,245.87,-171.56,-3573.82,-30804.64,1435.45,19232.98,-5690.01,117.49,0.0,-2553.85,-5572.53,-8126.37
10001,1679.12,4110.75,4862.66,493.62,268.88,-202.64,-3554.43,-30525.68,1431.22,19179.25,-5885.22,119.11,0.0,-2257.26,-5766.11,-8023.37

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1,1580.14,3963.19,4895.32,471.23,260.55,-145.22,-3667.02,-31490.64,1447.03,19318.63,-5035.79,103.83,0.0,-3366.77,-4931.96,-8298.73
101,1702.53,3983.89,4865.7,493.38,266.03,-132.38,-3528.32,-30876.08,1417.93,19300.61,-5594.45,113.52,0.0,-2506.71,-5480.92,-7987.64
201,1633.1,4069.59,4826.42,491.94,275.5,-155.88,-3599.68,-30738.49,1413.61,19188.99,-5635.45,112.49,0.0,-2594.9,-5522.96,-8117.87
301,1659.95,4023.87,4842.36,490.29,249.51,-150.77,-3597.75,-30853.12,1411.97,19180.58,-5581.6,114.64,0.0,-2743.11,-5466.96,-8210.06
401,1659.3,3932.25,4837.63,475.62,242.74,-176.49,-3564.07,-30685.74,1427.39,19246.65,-5698.71,114.13,0.0,-2604.71,-5584.58,-8189.29
501,1651.81,3985.73,4867.52,487.27,263.4,-174.8,-3585.0,-30810.24,1388.47,19196.84,-5537.19,112.43,0.0,-2729.01,-5424.76,-8153.77
601,1693.28,3982.73,4849.7,484.52,258.89,-145.17,-3595.94,-30823.03,1421.62,19166.07,-5520.34,112.17,0.0,-2707.33,-5408.17,-8115.5
701,1678.39,4029.44,4824.62,486.36,246.25,-164.07,-3579.27,-30707.3,1413.69,19095.25,-5552.24,111.8,0.0,-2676.65,-5440.44,-8117.08
801,1690.96,4029.65,4839.85,480.61,237.56,-168.03,-3571.21,-30866.97,1411.48,19203.99,-5504.46,111.78,0.0,-2712.1,-5392.68,-8104.77
901,1659.19,3986.78,4814.54,499.83,248.06,-178.86,-3541.44,-30819.23,1426.37,19181.56,-5549.9,112.74,0.0,-2723.21,-5437.16,-8160.37
1001,1723.75,4081.64,4849.56,478.53,254.96,-172.61,-3607.15,-30333.16,1406.55,19025.91,-5798.43,113.72,0.0,-2292.03,-5684.7,-7976.74
1101,1639.78,3983.58,4840.66,467.8,248.06,-168.84,-3579.75,-30324.7,1439.82,18996.91,-5842.85,114.46,0.0,-2456.7,-5728.4,-8185.09
1201,1718.69,4037.82,4847.89,497.62,239.75,-192.01,-3563.03,-30599.62,1433.41,19179.33,-5813.76,115.45,0.0,-2400.16,-5698.31,-8098.47
1301,1689.3,4026.88,4811.45,493.74,262.48,-189.02,-3589.01,-30591.93,1411.82,19183.85,-5773.03,115.41,0.0,-2490.45,-5657.62,-8148.07
1401,1680.19,3981.85,4823.97,478.03,253.24,-186.19,-3539.13,-30316.47,1410.23,19086.33,-5987.55,118.38,0.0,-2327.94,-5869.17,-8197.11
1501,1616.59,4034.27,4881.78,476.8,268.57,-194.33,-3591.6,-30487.06,1433.22,19174.13,-5812.83,113.63,0.0,-2387.62,-5699.2,-8086.82
1601,1763.01,4032.2,4821.08,490.28,253.71,-187.54,-3558.31,-30266.05,1383.96,19134.04,-6023.49,114.76,0.0,-2133.63,-5908.73,-8042.36
1701,1664.76,3993.25,4791.68,473.96,277.84,-146.1,-3615.41,-30617.46,1441.53,19291.7,-5816.64,113.25,0.0,-2444.25,-5703.39,-8147.64
1801,1665.07,3974.97,4854.98,475.09,250.11,-209.56,-3595.63,-30619.78,1438.6,19234.71,-5732.51,112.11,0.0,-2531.43,-5620.4,-8151.83
1901,1660.31,3981.12,4835.88,486.73,246.01,-211.5,-3628.75,-30549.94,1416.17,19167.7,-5769.5,112.87,0.0,-2596.29,-5656.64,-8252.92
2001,1658.15,4007.64,4839.11,478.74,256.27,-225.44,-3595.36,-30579.46,1429.63,19306.16,-5826.58,112.49,0.0,-2424.57,-5714.1,-8138.67
2101,1671.33,3998.28,4830.17,475.86,242.88,-181.52,-3608.32,-30598.47,1413.76,19244.9,-5854.66,115.91,0.0,-2511.12,-5738.75,-8249.87
2201,1738.06,3986.88,4857.29,471.06,257.57,-167.14,-3605.41,-30685.89,1406.36,19222.18,-5741.02,110.83,0.0,-2519.03,-5630.2,-8149.23
2301,1731.83,3870.2,4821.38,471.83,266.32,-186.18,-3631.19,-30521.67,1438.53,19223.53,-5768.31,111.37,0.0,-2515.43,-5656.94,-8172.37
2401,1624.82,4023.98,4855.73,486.29,261.93,-174.02,-3614.95,-30428.0,1386.79,19210.96,-5935.84,113.17,0.0,-2366.47,-5822.67,-8189.14
2501,1668.0,3979.55,4799.7,473.37,258.35,-201.04,-3592.53,-30431.86,1413.25,19176.61,-5905.6,114.42,0.0,-2456.61,-5791.17,-8247.78
2601,1665.45,3944.17,4802.04,468.08,243.75,-203.4,-3595.42,-30530.76,1394.52,19186.17,-5857.11,113.83,0.0,-2625.4,-5743.28,-8368.68
2701,1669.52,4010.73,4837.56,478.38,252.93,-174.24,-3590.49,-30408.39,1398.82,19183.4,-5903.81,114.2,0.0,-2341.77,-5789.61,-8131.38
2801,1718.87,4047.32,4809.1,478.09,246.17,-184.23,-3581.92,-30708.94,1410.74,19152.96,-5739.41,111.46,0.0,-2611.84,-5627.95,-8239.79
2901,1706.78,4047.23,4829.65,480.76,264.77,-193.79,-3574.86,-30518.19,1414.91,19205.52,-5879.31,113.83,0.0,-2337.22,-5765.48,-8102.69
3001,1702.86,4016.79,4767.06,477.81,263.02,-189.84,-3604.73,-30507.35,1397.16,19185.39,-5900.49,113.62,0.0,-2491.84,-5786.87,-8278.71
3101,1746.41,3987.77,4812.08,483.09,265.22,-138.88,-3602.67,-30261.64,1403.82,19205.32,-6068.2,114.1,0.0,-2099.47,-5954.1,-8053.58
